Entry	Reviewed	Gene Names
Q39UG2	unreviewed	yjeF nnrD nnrE Gmet_1883
Q39RQ8	unreviewed	prsA prs Gmet_2848
Q39S83	unreviewed	coaBC Gmet_2673
Q39SB7	unreviewed	pckG pckA Gmet_2638
Q39UH0	unreviewed	rdgB Gmet_1875
Q39UR9	unreviewed	carB-1 carB Gmet_1774
Q39V53	unreviewed	pfk-1 pfkA Gmet_1640
Q39V67	unreviewed	ribA ribBA Gmet_1626
Q39X30	unreviewed	argJ Gmet_0952
Q39X44	unreviewed	pfkA pfk-2 Gmet_0938
Q39XX1	unreviewed	carB-2 carB Gmet_0661
Q39XY5	unreviewed	adk Gmet_0647
Q39Y27	unreviewed	asd asd-1 Gmet_0604
Q39Y28	unreviewed	asd asd-2 Gmet_0603
Q39PT8	unreviewed	dnaJ Gmet_3531
Q39PU5	unreviewed	tadA Gmet_3524
Q39PZ8	unreviewed	treZ Gmet_3467
Q39Q40	unreviewed	dnaX Gmet_3422
Q39Q51	unreviewed	atpF atpX Gmet_3411
Q39Q71	unreviewed	mqnC-2 mqnE Gmet_3391
Q39Q72	unreviewed	mqnC-1 mqnC Gmet_3390
Q39QA1	unreviewed	pepA Gmet_3361
Q39QC0	unreviewed	nuoN nuoN-1 Gmet_3342
Q39QC4	unreviewed	priA Gmet_3337
Q39QI9	unreviewed	fabH fabH-1 Gmet_3272
Q39QM2	unreviewed	hppA Gmet_3239
Q39QN8	unreviewed	Gmet_3223
Q39QP2	unreviewed	uvrB Gmet_3219
Q39QP8	unreviewed	thiL Gmet_3213
Q39QQ8	unreviewed	gpmI Gmet_3203
Q39QS9	unreviewed	pcnB Gmet_3182
Q39R96	unreviewed	typA bipA Gmet_3013
Q39RB5	unreviewed	nfo Gmet_2994
Q39RB7	unreviewed	dapF Gmet_2992
Q39RD5	unreviewed	mutS2 mutS-2 Gmet_2974
Q39RF4	unreviewed	hemG Gmet_2953
Q39RH1	unreviewed	thiE tenI Gmet_2935
Q39RJ7	unreviewed	thiD thiE Gmet_2909
Q39RN4	unreviewed	ffh Gmet_2872
Q39RP4	unreviewed	nadE Gmet_2862
Q39RP6	unreviewed	cysN Gmet_2860
Q39RP8	unreviewed	apr cysH Gmet_2858
Q39RQ3	unreviewed	ilvE Gmet_2853
Q39S39	unreviewed	recQ Gmet_2717
Q39S72	unreviewed	mtaP mtnP Gmet_2684
Q39SD6	unreviewed	zwf Gmet_2619
Q39SE8	unreviewed	lpxC Gmet_2607
Q39SL1	unreviewed	lon-1 lon Gmet_2544
Q39SQ8	unreviewed	trpB trpB2 Gmet_2493
Q39SS3	unreviewed	accD Gmet_2476
Q39SW5	unreviewed	kdpB Gmet_2434
Q39T01	unreviewed	tgt tgt-1 Gmet_2398
Q39T06	unreviewed	ftsH ftsH-1 Gmet_2393
Q39T20	unreviewed	Gmet_2379
Q39T39	unreviewed	lysS Gmet_2360
Q39T51	unreviewed	kdtA Gmet_2348
Q39T78	unreviewed	metG Gmet_2321
Q39TA6	unreviewed	guaB Gmet_2293
Q39TD7	unreviewed	sucC sucC-3 Gmet_2261
Q39TD8	unreviewed	sucD-3 sucD Gmet_2260
Q39TV0	unreviewed	moaA-3 moaA Gmet_2095
Q39TX6	unreviewed	sucC sucC-2 Gmet_2069
Q39TX7	unreviewed	sucD-2 sucD Gmet_2068
Q39U58	unreviewed	birA Gmet_1987
Q39UA4	unreviewed	purL purSL Gmet_1941
Q39UA6	unreviewed	purF Gmet_1939
Q39UA7	unreviewed	pyrE Gmet_1938
Q39UB9	unreviewed	ettA Gmet_1926
Q39UD3	unreviewed	acnB Gmet_1912
Q39UE7	unreviewed	hisG hisGL Gmet_1898
Q39UF5	unreviewed	ftsH ftsH-2 Gmet_1890
Q39UF7	unreviewed	dacA Gmet_1888
Q39UH4	unreviewed	lon-2 lon Gmet_1871
Q39UK0	unreviewed	purN Gmet_1845
Q39UK3	unreviewed	pyrK Gmet_1842
Q39UP1	unreviewed	moeA-3 Gmet_1804
Q39US2	unreviewed	carA Gmet_1771
Q39UX1	unreviewed	icmF Gmet_1722
Q39V21	unreviewed	Gmet_1672
Q39V35	unreviewed	queE Gmet_1658
Q39V64	unreviewed	hom Gmet_1629
Q39V69	unreviewed	ribD Gmet_1624
Q39V74	unreviewed	rtcB Gmet_1619
Q39V93	unreviewed	fabH fabH-2 Gmet_1599
Q39VB1	unreviewed	bioD Gmet_1581
Q39VB2	unreviewed	bioA Gmet_1580
Q39VK3	unreviewed	glmS glmS-2 Gmet_1487
Q39VP9	unreviewed	dinB Gmet_1441
Q39VR4	unreviewed	glnD Gmet_1426
Q39VS9	unreviewed	thrS Gmet_1411
Q39VV2	unreviewed	ribF Gmet_1388
Q39VV4	unreviewed	rnr Gmet_1386
Q39W26	unreviewed	fcl Gmet_1312
Q39W49	unreviewed	ptsI Gmet_1289
Q39W53	unreviewed	hprK Gmet_1285
Q39W73	unreviewed	leuA Gmet_1265
Q39W77	unreviewed	ilvN Gmet_1261
Q39W84	unreviewed	uppS Gmet_1254
Q39WG0	unreviewed	ftsY Gmet_1176
Q39WG2	unreviewed	smc Gmet_1174
Q39WG8	unreviewed	dacA Gmet_1168
Q39WG9	unreviewed	menG Gmet_1167
Q39WL4	unreviewed	prpB Gmet_1122
Q39WS2	unreviewed	fdhD mobA Gmet_1062
Q39WU6	unreviewed	moeA-1 Gmet_1038
Q39X26	unreviewed	valS Gmet_0956
Q39X53	unreviewed	rodA Gmet_0929
