Entry	Reviewed	Gene Names
P71814	unreviewed	phoP Rv0757
A5YKM2	unreviewed	ppk1 ppk
B5AFK3	unreviewed	murB
I6X5C9	unreviewed	ribF Rv2786c
I6X9S5	unreviewed	ggtA Rv0773c
I6XEK6	unreviewed	mltG Rv2553c
I6XI14	unreviewed	cobQ2 gatD Rv3713
I6Y4C7	unreviewed	murT Rv3712
I6Y4V6	unreviewed	purM Rv0809
I6Y8S6	unreviewed	purS Rv0787A
I6YBX7	unreviewed	katG
I6YEU0	unreviewed	pca Rv2967c
L7N655	unreviewed	pepN pepD Rv2467
O06307	unreviewed	Rv0356c
O06560	unreviewed	narH Rv1162
O06563	unreviewed	typA bipA Rv1165
O07248	unreviewed	udgA rkpK Rv0322
O33230	unreviewed	hflX Rv2725c
O50394	unreviewed	spoU Rv3366
O50408	unreviewed	dxs2 Rv3379c
O50455	unreviewed	corA Rv1239c
O53347	unreviewed	Rv3201c
O53370	unreviewed	sdhA Rv3318
O53371	unreviewed	sdhB Rv3319
O53674	unreviewed	nirB nasB Rv0252
O53676	unreviewed	cobU Rv0254c
O53850	unreviewed	lpqR Rv0838
O86327	unreviewed	rsfS Rv2420c
P71790	unreviewed	gmdA gmd Rv1511
P71791	unreviewed	epiA fcl Rv1512
P71913	unreviewed	rbsK Rv2436
P96878	unreviewed	Rv3273
Q79FJ2	unreviewed	gnd1 Rv1844c
Q79FZ9	unreviewed	mce1A mce1 Rv0169
Q79G13	unreviewed	celA1 cel6 celA Rv0062
C7FLQ4	unreviewed	
I6X4W4	unreviewed	arsC Rv2643
I6X5I7	unreviewed	cysG cysG2 Rv2847c
I6XHX8	unreviewed	Rv3672c
I6XWA1	unreviewed	purB Rv0777
I6XWG2	unreviewed	moaD2 Rv0868c
I6Y0L1	unreviewed	mbtE Rv2380c
I6Y0L9	unreviewed	rpfD
I6Y0W5	unreviewed	fadE19 mmgC Rv2500c
I6Y1Q2	unreviewed	sirR Rv2788
I6Y231	unreviewed	mas Rv2940c
I6Y263	unreviewed	Rv2978c
I6Y551	unreviewed	Rv0913c
I6Y8R4	unreviewed	Rv0774c
I6YA00	unreviewed	msrB Rv2674
I6YA03	unreviewed	echA15 Rv2679
I6YB06	unreviewed	nrdH Rv3053c
I6YCN3	unreviewed	fic Rv3641c
I6YEA3	unreviewed	Rv2751
I6YEZ8	unreviewed	Rv3027c
I6YFL7	unreviewed	rubB Rv3250c
I6YG46	unreviewed	gadB Rv3432c
I6YGX2	unreviewed	ponA2 Rv3682
L0T2W6	unreviewed	mce1F Rv0174
L0TBR2	unreviewed	Rv2251
L7N650	unreviewed	pcd aldB Rv3293
L7N662	unreviewed	cydA appC Rv1623c
L7N664	unreviewed	trxB1 trxB Rv1471
L7N669	unreviewed	ribA1 ribA Rv1940
L7N690	unreviewed	amiB1 amiB Rv3306c
O05450	unreviewed	eccC2 Rv3894c
O05575	unreviewed	Rv0992c
O05576	unreviewed	galU Rv0993
O05578	unreviewed	rimJ Rv0995
O05784	unreviewed	agpS Rv3107c
O05819	unreviewed	mbtF Rv2379c
O05841	unreviewed	Rv3225c
O05855	unreviewed	rhlE Rv3211
O05858	unreviewed	Rv3208
O05872	unreviewed	Rv3226c
O05884	unreviewed	Rv3239c
O05894	unreviewed	rubA Rv3251c
O05895	unreviewed	alkB Rv3252c
O05898	unreviewed	manA Rv3255c
O06137	unreviewed	cydC Rv1620c
O06138	unreviewed	cydD Rv1621c
O06139	unreviewed	cydB Rv1622c
O06155	unreviewed	lpqF Rv3593
O06169	unreviewed	Rv2506
O06302	unreviewed	hspR Rv0353
O06311	unreviewed	Rv0361
O06312	unreviewed	mgtE Rv0362
O06347	unreviewed	cpsA Rv3484
O06363	unreviewed	Rv3644c
O06367	unreviewed	Rv3640c
O06546	unreviewed	mmpL13b Rv1146
O06562	unreviewed	narI Rv1164
O06574	unreviewed	gnd2 Rv1122
O06817	unreviewed	bisC Rv1442
O07175	unreviewed	pepA mtb32a Rv0125
O07179	unreviewed	echA2 Rv0456c
O07191	unreviewed	Rv2689c
O07236	unreviewed	Rv0309
O07239	unreviewed	Rv0312
O07257	unreviewed	Rv2059
O07414	unreviewed	mce1B mceD Rv0170
O07416	unreviewed	mce1D Rv0172
O07422	unreviewed	Rv0178
O07720	unreviewed	Rv1913
O07728	unreviewed	Rv1904
O07806	unreviewed	Rv3817
O33188	unreviewed	Rv1686c
O33198	unreviewed	Rv1697
O33203	unreviewed	cycA Rv1704c
O33206	unreviewed	Rv1707
O33298	unreviewed	hsdM Rv2756c
O33329	unreviewed	Rv2787
O33332	unreviewed	ltp1 Rv2790c
O33333	unreviewed	Rv2791c
O33340	unreviewed	aldC Rv2858c
O33346	unreviewed	Rv2864c
O33364	unreviewed	Rv0519c
O50402	unreviewed	echA18 Rv3373
O50419	unreviewed	Rv3394c
O50430	unreviewed	TB8.4 Rv1174c
O50433	unreviewed	fdxC Rv1177
O50435	unreviewed	Rv1179c
O50443	unreviewed	rocA Rv1187
O50444	unreviewed	Rv1188
O53146	unreviewed	qor Rv1454c
O53164	unreviewed	Rv1473
O53198	unreviewed	aglA Rv2471
O53213	unreviewed	Rv2488c
O53291	unreviewed	fecB Rv3044
O53337	unreviewed	Rv3191c
O53340	unreviewed	Rv3194c
O53348	unreviewed	Rv3202c
O53382	unreviewed	nagA Rv3332
O53390	unreviewed	metC Rv3340
O53419	unreviewed	echA9 Rv1071c
O53422	unreviewed	fadA3 Rv1074c
O53444	unreviewed	Rv1096
O53459	unreviewed	ychF Rv1112
O53533	unreviewed	mscR Rv2259
O53620	unreviewed	Rv0075
O53633	unreviewed	Rv0111
O53639	unreviewed	oxcA Rv0118c
O53669	unreviewed	Rv0247c
O53673	unreviewed	hsp acr2 hrpA hsp20 Rv0251c
O53720	unreviewed	Rv0386
O53816	unreviewed	mmsA Rv0753c
O53830	unreviewed	Rv0818
O53872	unreviewed	fadB Rv0860
O53963	unreviewed	lppF Rv1921c
O65933	unreviewed	pks8 Rv1662
O69695	unreviewed	Rv3728
O69719	unreviewed	tadA Rv3752c
O69722	unreviewed	proZ Rv3756c
O69723	unreviewed	proW Rv3757c
O69724	unreviewed	proV Rv3758c
O69725	unreviewed	proX Rv3759c
O86313	unreviewed	Rv1230c
O86335	unreviewed	pks6 Rv0405
O86361	unreviewed	fadA2 Rv0243
O86374	unreviewed	pmmA Rv3257c
P71728	unreviewed	Rv2415c
P71745	unreviewed	cysT Rv2399c
P71750	unreviewed	ggtB Rv2394
P71815	unreviewed	phoR Rv0758
P71830	unreviewed	Rv0775
P71906	unreviewed	dctA Rv2443
P71914	unreviewed	Rv2435c
P71968	unreviewed	ribD ribG Rv2671
P72007	unreviewed	fadD1 Rv1750c
P72045	unreviewed	Rv3779
P94982	unreviewed	Rv1647
P94996	unreviewed	pks7 Rv1661
P95017	unreviewed	Rv2536
P95024	unreviewed	Rv2529
P95029	unreviewed	fas Rv2524c
P95034	unreviewed	Rv0688
P95072	unreviewed	sppA Rv0724
P95073	unreviewed	Rv0725c
P95164	unreviewed	blaR Rv1845c
P95172	unreviewed	nuoJ Rv3154
P95186	unreviewed	fadE23 Rv3140
P95187	unreviewed	fadE24 Rv3139
P95224	unreviewed	narU Rv0267
P96217	unreviewed	Rv3860
P96229	unreviewed	Rv3848
P96271	unreviewed	ctpH Rv0425c
P96273	unreviewed	xthA xth Rv0427c
P96394	unreviewed	nadR nadI Rv0212c
P96404	unreviewed	echA1 Rv0222
P96819	unreviewed	Rv0142
P96824	unreviewed	Rv0147
P96832	unreviewed	pntAa Rv0155
P96833	unreviewed	pntAb Rv0156
P96834	unreviewed	pntB Rv0157
P96868	unreviewed	Rv3263
P96937	unreviewed	Rv0648
Q10782	unreviewed	Rv1544
Q10838	unreviewed	erm(37) Rv1988
Q10884	unreviewed	hycE hevE Rv0087
Q1LVD4	unreviewed	parA parB Rv3918c
Q6MX13	unreviewed	moaB1 moaB Rv3110
Q6MX34	unreviewed	hemD cysG Rv0511
Q6MX48	unreviewed	PPE6 Rv0305c
Q6MX51	unreviewed	atsG Rv0296c
Q79F96	unreviewed	csp Rv3811
Q7ARS9	unreviewed	Rv0385
Q93IG6	unreviewed	Rv3365c
A0A4Y5QPX8	unreviewed	rv2820c
B5TV88	unreviewed	cfp-10
B5TV89	unreviewed	esat-6
E2IBS4	unreviewed	
I6WX95	unreviewed	acpA acpP Rv0033
I6WXK8	unreviewed	Rv0157A
I6WY86	unreviewed	Rv0371c
I6WYT7	unreviewed	mce2D Rv0592
I6WYU2	unreviewed	Rv0597c
I6WYY7	unreviewed	hadB Rv0636
I6WZ26	unreviewed	Rv0674
I6WZ30	unreviewed	Rv0679c
I6WZ39	unreviewed	Rv0689c
I6WZ58	unreviewed	Rv0713
I6WZ71	unreviewed	serA2 Rv0728c
I6WZ83	unreviewed	Rv0743c
I6WZD7	unreviewed	Rv0760c
I6WZD9	unreviewed	Rv0765c
I6WZH9	unreviewed	Rv0817c
I6WZI4	unreviewed	Rv0822c
I6WZK3	unreviewed	Rv0841
I6WZM9	unreviewed	cspB Rv0871
I6WZS4	unreviewed	Rv0921
I6WZS8	unreviewed	Rv0926c
I6X4D6	unreviewed	Rv2474c
I6X4J0	unreviewed	Rv2522c
I6X4K0	unreviewed	adi Rv2531c
I6X4S7	unreviewed	tesB2 Rv2605c
I6X520	unreviewed	Rv2663
I6X540	unreviewed	Rv2683
I6X548	unreviewed	Rv2693c
I6X552	unreviewed	Rv2698
I6X562	unreviewed	Rv2708c
I6X579	unreviewed	Rv2728c
I6X5B0	unreviewed	Rv2762c
I6X5C5	unreviewed	Rv2781c
I6X5G8	unreviewed	Rv2828c
I6X5H3	unreviewed	ugpC Rv2832c
I6X5K1	unreviewed	glnA4 Rv2860c
I6X5M3	unreviewed	Rv2884
I6X5T4	unreviewed	Rv2943
I6X5U4	unreviewed	Rv2954c
I6X5W1	unreviewed	Rv2968c
I6X5W6	unreviewed	Rv2972c
I6X5Z8	unreviewed	Rv3000
I6X630	unreviewed	Rv3032A
I6X642	unreviewed	Rv3047c
I6X654	unreviewed	fadE22 Rv3061c
I6X658	unreviewed	Rv3066
I6X666	unreviewed	Rv3076
I6X6H8	unreviewed	PPE52 Rv3144c
I6X7B3	unreviewed	Rv3438
I6X7D4	unreviewed	Rv3463
I6X7F2	unreviewed	Rv3483c
I6X7G4	unreviewed	Rv3493c
I6X7G8	unreviewed	mce4B Rv3498c
I6X7H4	unreviewed	fdxD Rv3503c
I6X7J6	unreviewed	Rv3524
I6X7P2	unreviewed	Rv3572
I6X7W8	unreviewed	Rv3618
I6X7X3	unreviewed	lpqG Rv3623
I6X7Z3	unreviewed	Rv3645
I6X7Z8	unreviewed	PE33 Rv3650
I6X811	unreviewed	dppA Rv3666c
I6X824	unreviewed	Rv3678A
I6X827	unreviewed	Rv3683
I6X831	unreviewed	Rv3688c
I6X849	unreviewed	Rv3706c
I6X8E6	unreviewed	Rv0061c
I6X8G2	unreviewed	Rv0078B
I6X8R2	unreviewed	zmp1 Rv0198c
I6X8S7	unreviewed	Rv0223c
I6X9E2	unreviewed	lpqO Rv0604
I6X9E8	unreviewed	Rv0612
I6X9F4	unreviewed	Rv0621
I6X9J0	unreviewed	fadE8 Rv0672
I6X9N8	unreviewed	Rv0745
I6X9Q1	unreviewed	Rv0749A
I6X9R9	unreviewed	aldA Rv0768
I6X9T8	unreviewed	Rv0791c
I6X9V3	unreviewed	Rv0811c
I6X9X6	unreviewed	Rv0839
I6X9Y7	unreviewed	Rv0854
I6XA34	unreviewed	Rv0911
I6XA42	unreviewed	Rv0919
I6XCB2	unreviewed	scpB Rv1710
I6XDU8	unreviewed	Rv2237A
I6XEF1	unreviewed	PE_PGRS42 Rv2487c
I6XEF6	unreviewed	Rv2491
I6XEH5	unreviewed	Rv2515c
I6XEI0	unreviewed	Rv2520c
I6XEK2	unreviewed	Rv2548A
I6XER9	unreviewed	Rv2617c
I6XES4	unreviewed	Rv2622
I6XEU5	unreviewed	Rv2646
I6XEX3	unreviewed	Rv2651c
I6XF17	unreviewed	Rv2681
I6XF25	unreviewed	ceoB trkA Rv2691
I6XF31	unreviewed	Rv2696c
I6XF52	unreviewed	Rv2721c
I6XF60	unreviewed	Rv2731
I6XF92	unreviewed	Rv2765
I6XFA6	unreviewed	lppU Rv2784c
I6XFA9	unreviewed	fadE21 Rv2789c
I6XFB7	unreviewed	Rv2799
I6XFC2	unreviewed	Rv2803
I6XFD1	unreviewed	Rv2813
I6XFF3	unreviewed	ugpA Rv2835c
I6XFF7	unreviewed	Rv2840c
I6XFI7	unreviewed	Rv2867c
I6XFT2	unreviewed	Rv2970A
I6XFU1	unreviewed	Rv2979c
I6XFY8	unreviewed	Rv3026c
I6XG13	unreviewed	Rv3050c
I6XG31	unreviewed	Rv3064c
I6XG38	unreviewed	Rv3074
I6XG43	unreviewed	Rv3079c
I6XGJ1	unreviewed	Rv3190A
I6XHC3	unreviewed	Rv3481c
I6XHD1	unreviewed	Rv3491
I6XHD6	unreviewed	mce4D Rv3496c
I6XHG6	unreviewed	Rv3527
I6XHH2	unreviewed	Rv3531c
I6XHH5	unreviewed	hsaE Rv3536c
I6XHM5	unreviewed	PE_PGRS58 Rv3590c
I6XHU7	unreviewed	Rv3638
I6XHY3	unreviewed	Rv3677c
I6XI06	unreviewed	Rv3705c
I6XI16	unreviewed	Rv3718c
I6XUD2	unreviewed	Rv0082
I6XVW9	unreviewed	atsD Rv0663
I6XVY0	unreviewed	lpqP Rv0671
I6XVZ6	unreviewed	Rv0686
I6XW38	unreviewed	Rv0730
I6XW93	unreviewed	Rv0762c
I6XWA9	unreviewed	Rv0790c
I6XWB9	unreviewed	Rv0810c
I6XWE5	unreviewed	Rv0843
I6XWJ8	unreviewed	Rv0914c
I6XWK6	unreviewed	Rv0923c
I6XY36	unreviewed	Rv1498A
I6XYM2	unreviewed	dsbF Rv1677
I6XZC4	unreviewed	Rv1941
I6Y0X0	unreviewed	fadD35 Rv2505c
I6Y0X6	unreviewed	Rv2510c
I6Y0Y0	unreviewed	Rv2514c
I6Y120	unreviewed	aroE Rv2552c
I6Y187	unreviewed	Rv2621c
I6Y1A7	unreviewed	Rv2640c
I6Y1F0	unreviewed	Rv2655c
I6Y1F5	unreviewed	Rv2660c
