Entry	Reviewed	Entry Name	Gene Names	EC number	Gene Ontology (GO)	Organism (ID)
Q88CC1	reviewed	HGLS_PSEPK	hglS ydcJ PP_5260	1.13.11.93	dioxygenase activity [GO:0051213]	160488
Q88E10	reviewed	MCPS_PSEPK	mcpS PP_4658		plasma membrane [GO:0005886]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	160488
Q88E47	reviewed	HGD_PSEPK	hmgA PP_4621	1.13.11.5	protein-DNA complex [GO:0032993]; DNA-binding transcription repressor activity [GO:0001217]; homogentisate 1,2-dioxygenase activity [GO:0004411]; iron ion binding [GO:0005506]; transcription cis-regulatory region binding [GO:0000976]; L-phenylalanine catabolic process [GO:0006559]; negative regulation of DNA-templated transcription [GO:0045892]; tyrosine catabolic process [GO:0006572]	160488
Q88F88	reviewed	PVDT_PSEPK	pvdT PP_4210	7.6.2.-	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; response to antibiotic [GO:0046677]	160488
Q88FF8	reviewed	CHRR_PSEPK	chrR PP_4138	1.6.-.-; 1.6.5.2	cytosol [GO:0005829]; FMN binding [GO:0010181]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; NADPH dehydrogenase (quinone) activity [GO:0008753]	160488
Q88FY2	reviewed	6HN3M_PSEPK	nicC PP_3944	1.14.13.114	6-hydroxynicotinate 3-monooxygenase activity [GO:0043731]; FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]; nicotinate catabolic process [GO:1901848]	160488
Q88GJ9	reviewed	BSR_PSEPK	alr PP_3722	5.1.1.10	periplasmic space [GO:0042597]; alanine racemase activity [GO:0008784]; arginine racemase activity [GO:0047679]; lysine racemase activity [GO:0018113]; pyridoxal phosphate binding [GO:0030170]	160488
Q88JH0	reviewed	PEDH_PSEPK	pedH qedH-II PP_2679	1.1.2.-	membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; alcohol dehydrogenase (cytochrome c) activity [GO:0052934]; calcium ion binding [GO:0005509]	160488
Q88JH5	reviewed	PEDE_PSEPK	pedE qedH-I PP_2674	1.1.2.8	membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; alcohol dehydrogenase (cytochrome c) activity [GO:0052934]; calcium ion binding [GO:0005509]	160488
Q88JK6	reviewed	PCAY_PSEPK	pcaY PP_2643		plasma membrane [GO:0005886]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	160488
