Entry	Reviewed	Entry Name	Gene Names	EC number	Gene Ontology (GO)	Organism (ID)
D8GJ26	unreviewed	D8GJ26_CLOLD	ilvC2 ilvC ilvC3 CLJU_c20390 CLJU_c20400	1.1.1.86	cytosol [GO:0005829]; isomerase activity [GO:0016853]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	748727
D8GJA0	unreviewed	D8GJA0_CLOLD	gcaD glmU CLJU_c41780	2.3.1.157; 2.7.7.23	cytoplasm [GO:0005737]; glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; magnesium ion binding [GO:0000287]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; cell morphogenesis [GO:0000902]; cell wall organization [GO:0071555]; lipid A biosynthetic process [GO:0009245]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	748727
D8GJQ2	unreviewed	D8GJQ2_CLOLD	argJ CLJU_c21530	2.3.1.1; 2.3.1.35	cytoplasm [GO:0005737]; acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042]; glutamate N-acetyltransferase activity [GO:0004358]; methione N-acyltransferase activity [GO:0103045]; arginine biosynthetic process [GO:0006526]; ornithine biosynthetic process [GO:0006592]	748727
D8GKC7	unreviewed	D8GKC7_CLOLD	ribAB ribBA CLJU_c22070	3.5.4.25; 4.1.99.12	cytosol [GO:0005829]; 3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; zinc ion binding [GO:0008270]; riboflavin biosynthetic process [GO:0009231]	748727
D8GKX7	unreviewed	D8GKX7_CLOLD	pyrG CLJU_c02200	6.3.4.2	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; metal ion binding [GO:0046872]; 'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]	748727
D8GLI9	unreviewed	D8GLI9_CLOLD	nnrD CLJU_c03010	4.2.1.136	ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nicotinamide nucleotide metabolic process [GO:0046496]	748727
D8GLL1	unreviewed	D8GLL1_CLOLD	pfk pfkA CLJU_c03250	2.7.1.11	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	748727
D8GM05	unreviewed	D8GM05_CLOLD	carB CLJU_c25210	6.3.4.16; 6.3.5.5	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]	748727
D8GM63	unreviewed	D8GM63_CLOLD	pfk1 pfkA CLJU_c25790	2.7.1.11	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	748727
D8GMB3	unreviewed	D8GMB3_CLOLD	carB1 carB CLJU_c04410	6.3.4.16; 6.3.5.5	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]	748727
D8GQK2	unreviewed	D8GQK2_CLOLD	murE CLJU_c10570	6.3.2.13	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	748727
D8GRW9	unreviewed	D8GRW9_CLOLD	coaBC CLJU_c12540	4.1.1.36; 6.3.2.5	FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	748727
